country_i,country_j,part2gr_i,part2gr_j,part6gr_i,part6gr_j,d_subtypes,d_flights,d_T,d_RH,season_sync
Brazil,Latvia,1,0,1,0,26.023021656554,,27.0308355058754,10.1305329613357,B_partially
Brazil,Lithuania,1,0,1,0,31.1736628831438,,27.4658025468911,12.7195985130935,B_partially
Brazil,Luxembourg,1,0,1,0,27.2922137475907,,20.7172673906411,9.10592053457789,B_partially
Brazil,Madagascar,1,1,1,1,15.4483865903284,,0.48074939809527,0.0995117077840604,A_synchronized
Brazil,Mexico,1,1,1,3,14.9579320878329,,1.6181384728016,13.6322174230397,A_synchronized
Brazil,Mongolia,1,1,1,4,31.9461749991511,,31.115430232438,3.5117814354568,B_partially
Brazil,Netherlands (Kingdom of the),1,0,1,0,23.5272071798958,,20.5314603639268,6.69596207703603,B_partially
Brazil,New Zealand,1,1,1,1,23.9402384544166,,13.5349968089567,1.103897904985,B_partially
Brazil,Nicaragua,1,1,1,3,39.0560951830038,,2.67241156443697,8.1542341895432,A_synchronized
Brazil,Norway,1,0,1,0,19.4627357473237,,25.1358159746255,11.5795533470779,B_partially
Brazil,Oman,1,1,1,1,13.6620024026348,,4.1590133619062,21.1075874437537,A_synchronized
Brazil,Paraguay,1,1,1,1,19.7356429746113,,6.04419407994084,6.20658827580928,B_partially
Brazil,Peru,1,1,1,1,12.5645492565671,,3.33112369981103,4.49523606315036,A_synchronized
Brazil,Philippines,1,1,1,1,14.6835946283653,,2.01315946905777,2.85203046399379,A_synchronized
Brazil,Portugal,1,0,1,0,24.0146925521224,,13.3787482769807,2.00938590792808,B_partially
Brazil,Qatar,1,1,1,5,39.1469858750382,,3.50136053904646,22.8071615882248,A_synchronized
Brazil,Republic of Korea,1,1,1,4,20.8838623454903,,24.9480712799225,20.2182201914952,B_partially
Brazil,Romania,1,0,1,0,26.7230954412131,,23.2945171729005,4.78063553831197,B_partially
Brazil,Russian Federation,1,0,1,0,16.2051751134105,,32.1589498815959,10.1956230831141,B_partially
Brazil,Senegal,1,1,1,1,21.8470208721185,,0.784667282586611,6.41532604870048,A_synchronized
Brazil,Serbia,1,0,1,0,36.3603397594964,,21.442090388688,0.436685305085703,B_partially
Brazil,Singapore,1,1,1,1,11.7247645098276,,2.04478705271828,5.25618908926539,A_synchronized
Brazil,Slovakia,1,0,1,0,23.3591761822587,,22.3661016191567,3.4791657738357,B_partially
Brazil,Slovenia,1,0,1,0,28.2842272207344,,19.8115056718911,5.09615490957789,B_partially
Brazil,South Africa,1,1,1,1,15.2902026324455,,4.53134852144154,23.6327528989216,B_partially
Brazil,Spain,1,0,1,0,26.5881669517926,,13.6369984944987,5.7558160046827,B_partially
Brazil,Sri Lanka,1,1,1,1,9.37624252079383,,1.74626410349958,5.27196667715602,A_synchronized
Brazil,Sweden,1,0,1,0,17.4714108787399,,24.8188673070654,9.2298739585755,B_partially
Brazil,Switzerland,1,0,1,0,23.7819291762059,,18.6563004506811,3.01303818453782,B_partially
Brazil,Thailand,1,1,1,1,12.750829188973,,2.86558534778868,3.47493963443247,A_synchronized
Brazil,Tunisia,1,0,1,2,28.0880075577426,,12.6870032842608,8.02816467282185,B_partially
Brazil,Türkiye,1,0,1,2,26.5898391625242,,16.2523122963012,2.07313829873073,B_partially
Brazil,Ukraine,1,0,1,2,25.9976712504421,,26.3522048283632,8.65692224317967,B_partially
Brazil,United Kingdom,1,0,1,0,19.6588672858982,,19.4663741956715,8.14997684832711,B_partially
Brazil,United Republic of Tanzania,1,1,1,1,18.3125770130992,,1.77577643022329,0.904093010521024,A_synchronized
Brazil,United States of America,1,1,1,4,15.4960205156954,,17.5670448871779,10.9134314057326,B_partially
Brazil,Viet Nam,1,1,1,1,12.4746889754544,,1.01315257133348,2.92137591262053,A_synchronized
Bulgaria,Cambodia,0,1,0,1,39.1172984068097,,22.0701712002407,4.22970132504665,B_partially
Bulgaria,Cameroon,0,1,0,1,31.5564804147417,,21.4497598170383,6.12827729112078,B_partially
Bulgaria,Canada,0,1,0,4,32.3936498191947,,9.12570905089581,1.67708982047868,A_synchronized
Bulgaria,Chile,0,1,0,3,39.9115543986787,,9.4480947516924,7.65107542393919,C_opposite
Bulgaria,China,0,1,0,4,31.8005201487539,,11.9102833706721,9.68645017516779,B_partially
Bulgaria,"China, Hong Kong SAR",0,1,0,4,29.5915454607872,,17.1020925869595,4.60367269839085,B_partially
Bulgaria,Colombia,0,1,0,1,35.2854188967683,,20.825680194209,5.8004320509388,B_partially
Bulgaria,Costa Rica,0,1,0,3,34.4663567313155,,21.5776771585738,11.8946518501442,B_partially
Bulgaria,Croatia,0,0,0,0,29.8683850393687,,1.82960907319676,2.9229476007346,A_synchronized
Bulgaria,Cuba,0,1,0,1,30.0876756770936,,19.9000620790697,2.25091015998976,B_partially
Bulgaria,Czechia,0,0,0,0,22.2170593752051,,2.88795373540756,4.32400454862214,A_synchronized
Bulgaria,Côte d’Ivoire,0,1,0,1,37.5653234892791,,20.1830240263067,8.70733877133532,B_partially
Bulgaria,Denmark,0,0,0,0,21.0984011371586,,3.99123016694676,9.6440398248557,A_synchronized
Bulgaria,Ecuador,0,1,0,1,36.0832046866881,,18.940493888987,3.95319519442143,B_partially
Bulgaria,Egypt,0,0,0,0,24.7848013804304,,9.18908605421774,22.1405315868448,A_synchronized
Bulgaria,El Salvador,0,1,0,3,44.4080998532441,,22.4739492764126,7.25414590512477,B_partially
Bulgaria,Estonia,0,0,0,0,26.6417207486982,,8.17491546968108,10.8348586114768,A_synchronized
Bulgaria,Finland,0,0,0,0,20.5018762349215,,8.98076621870001,13.432570758461,A_synchronized
Bulgaria,France,0,0,0,0,20.3663095168391,,0.667194830650203,3.95584839821449,A_synchronized
Bulgaria,French Guiana,0,1,0,1,29.1537266550807,,20.1947134365689,6.70705099428929,B_partially
Bulgaria,Germany,0,0,0,0,14.8952794901961,,2.4346860322795,6.04493529440623,A_synchronized
Bulgaria,Ghana,0,1,0,1,35.1841985432868,,21.025760562399,3.67978218192708,B_partially
Bulgaria,Greece,0,0,0,0,23.3274517780149,,4.21125392828492,2.0976528546955,A_synchronized
Bulgaria,Guatemala,0,1,0,1,34.8322547340671,,22.559245907272,1.5067398992654,B_partially
Bulgaria,Honduras,0,1,0,1,38.7733615901688,,21.3960630057548,2.32081089918658,B_partially
Bulgaria,Hungary,0,0,0,0,16.8011337965125,,3.2712289462437,4.5020491632346,A_synchronized
Bulgaria,Iceland,0,0,0,0,19.5335064775623,,3.77815643647801,4.27626486147679,A_synchronized
Bulgaria,India,0,1,0,1,30.1194060582183,,21.9697728322295,10.3963591159023,B_partially
Bulgaria,Indonesia,0,1,0,1,29.6385056266526,,21.1250474321028,4.69543512621986,B_partially
Bulgaria,Iran (Islamic Republic of),0,0,0,2,26.4826090618161,,19.3662384933968,32.414813892842,B_partially
Bulgaria,Ireland,0,0,0,0,18.2491720367091,,0.506603085006304,8.03641958559788,A_synchronized
Bulgaria,Israel,0,0,0,0,30.0916675028238,,8.86712159501951,11.0095195005731,A_synchronized
Bulgaria,Italy,0,0,0,0,15.5109199885359,,2.74623606807154,2.37224919541593,A_synchronized
Bulgaria,Japan,0,1,0,4,28.5925583096727,,0.637837597249472,15.0361433178408,A_synchronized
Bulgaria,Jordan,0,0,0,2,28.0282968380738,,17.2175775980841,19.6525837185555,B_partially
